,m1,m2,m3,m4,m5,m6
0,aff.nor,chunk,questn,aff.nor,aff.nor,end
1,chunk,questn,chunk,aff.nor,questn,end
2,aff.nor,aff.nor,chunk,aff.nor,questn,phone
3,chunk,aff.nor,chunk,chunk,questn,end
4,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
5,aff.nor,chunk,chunk,aff.nor,questn,end
6,piss.off,aff.nor,aff.off,aff.off,aff.off,end
7,aff.nor,questn,questn,questn,questn,end
8,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
9,chunk,questn,chunk,chunk,questn,phone
10,aff.nor,aff.nor,chunk,aff.nor,aff.nor,phone
11,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
12,aff.nor,questn,questn,questn,questn,phone
13,chunk,questn,questn,questn,questn,end
14,aff.nor,aff.nor,chunk,chunk,chunk,end
15,aff.nor,questn,chunk,chunk,questn,end
16,questn,aff.nor,chunk,chunk,questn,end
17,aff.nor,questn,questn,aff.nor,aff.nor,phone
18,aff.nor,chunk,questn,questn,questn,end
19,aff.nor,aff.nor,chunk,chunk,questn,end
20,questn,questn,chunk,chunk,questn,end
21,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
22,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
23,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
24,questn,piss.off,chunk,chunk,questn,end
25,questn,questn,questn,piss.off,aff.nor,end
26,chunk,questn,chunk,chunk,questn,end
27,aff.nor,aff.nor,chunk,chunk,questn,end
28,aff.nor,aff.nor,aff.nor,chunk,aff.nor,end
29,aff.nor,aff.nor,chunk,chunk,questn,end
30,aff.nor,aff.nor,chunk,chunk,chunk,end
31,questn,aff.nor,aff.nor,chunk,aff.nor,phone
32,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
33,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
34,aff.nor,aff.nor,aff.nor,aff.nor,chunk,phone
35,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
36,aff.nor,piss.off,chunk,chunk,chunk,end
37,questn,aff.nor,aff.nor,aff.nor,questn,end
38,questn,aff.nor,chunk,chunk,questn,end
39,aff.nor,aff.nor,questn,questn,questn,end
40,questn,aff.nor,questn,questn,questn,phone
41,aff.nor,aff.nor,chunk,chunk,questn,end
42,aff.nor,aff.nor,chunk,chunk,chunk,end
43,aff.nor,aff.nor,chunk,chunk,questn,end
44,aff.nor,questn,questn,aff.nor,aff.nor,piss.off
45,aff.nor,aff.nor,questn,questn,questn,end
46,aff.nor,questn,aff.nor,aff.nor,chunk,end
47,aff.nor,questn,chunk,questn,aff.nor,end
48,aff.nor,chunk,aff.nor,aff.nor,chunk,end
49,aff.nor,questn,questn,questn,questn,end
50,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
51,aff.nor,questn,questn,questn,questn,end
52,aff.nor,aff.nor,chunk,chunk,questn,end
53,aff.nor,chunk,chunk,questn,questn,phone
54,questn,aff.nor,questn,questn,questn,phone
55,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
56,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
57,aff.nor,questn,piss.off,chunk,aff.nor,end
58,aff.nor,aff.nor,questn,questn,questn,end
59,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
60,aff.nor,aff.nor,questn,questn,questn,end
61,questn,chunk,questn,questn,aff.nor,phone
62,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
63,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
64,aff.nor,questn,chunk,chunk,questn,end
65,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
66,questn,aff.nor,questn,questn,aff.nor,end
67,aff.nor,aff.nor,chunk,chunk,chunk,end
68,questn,questn,questn,questn,questn,end
69,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
70,aff.nor,aff.nor,questn,aff.nor,questn,end
71,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
72,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
73,questn,aff.nor,aff.off,aff.off,aff.off,end
74,aff.nor,questn,chunk,chunk,questn,end
75,chunk,chunk,aff.off,aff.off,aff.off,piss.off
76,aff.nor,aff.nor,aff.nor,aff.nor,chunk,phone
77,questn,questn,questn,questn,questn,end
78,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
79,chunk,chunk,questn,questn,questn,end
